SYMBOL,NSE_CATEGORY,NSE_SUB_CATEGORY,ATOM_BUCKET,TIER2_GROUP,TIER1_INDEX,PEERS_TIER1,PEERS_TIER2,PROXY_AVAILABLE,ASSIGNMENT_STATUS,VOLUME_INFO_ONLY,LIQUID_INFO_ONLY,LTP,NAV,I_NAV,NOTE
SILVER360,COMMODITY,SILVER,COMMODITY,SILVER,SILVER,18,18,TIER1,AUTO,5530,NO,223.88,225.26,-,
SILVERBND,COMMODITY,SILVER,COMMODITY,SILVER,SILVER,18,18,TIER1,AUTO,5427,NO,226.75,229.54,228.20,
LIQUIDCASE,DEBT,Overnight ETFs and Liquid ETF,EXCLUDED,DEBT,OVERNIGHTS AND LIQUID,0,0,NO,AUTO,25771011,YES,115.96,115.94,115.95,debt/liquid — never traded (D-015)
LIQUIDBEES,DEBT,Overnight ETFs and Liquid ETF,EXCLUDED,DEBT,OVERNIGHTS AND LIQUID,0,0,NO,AUTO,2962685,YES,"1,000.01","1,000.00","1,000.00",debt/liquid — never traded (D-015)
LIQUID1,DEBT,Overnight ETFs and Liquid ETF,EXCLUDED,DEBT,OVERNIGHTS AND LIQUID,0,0,NO,AUTO,1080738,YES,"1,122.95","1,122.80","1,122.95",debt/liquid — never traded (D-015)
LIQGRWBEES,DEBT,Overnight ETFs and Liquid ETF,EXCLUDED,DEBT,OVERNIGHTS AND LIQUID,0,0,NO,AUTO,440338,YES,"1,055.79","1,055.65","1,055.78",debt/liquid — never traded (D-015)
LIQUIDIETF,DEBT,Overnight ETFs and Liquid ETF,EXCLUDED,DEBT,OVERNIGHTS AND LIQUID,0,0,NO,AUTO,368412,YES,"1,000.00","1,000.00","1,000.00",debt/liquid — never traded (D-015)
LTGILTBEES,DEBT,GSECS/GILT,EXCLUDED,DEBT,GSECS/GILT,0,0,NO,AUTO,340430,YES,29.68,29.72,29.71,debt/liquid — never traded (D-015)
LIQUIDADD,DEBT,Overnight ETFs and Liquid ETF,EXCLUDED,DEBT,OVERNIGHTS AND LIQUID,0,0,NO,AUTO,284924,YES,"1,145.03","1,144.89","1,145.03",debt/liquid — never traded (D-015)
LIQUID,DEBT,Overnight ETFs and Liquid ETF,EXCLUDED,DEBT,OVERNIGHTS AND LIQUID,0,0,NO,AUTO,250770,YES,999.99,"1,000.00","1,000.00",debt/liquid — never traded (D-015)
