SYMBOL,NSE_CATEGORY,NSE_SUB_CATEGORY,ATOM_BUCKET,TIER2_GROUP,TIER1_INDEX,PEERS_TIER1,PEERS_TIER2,PROXY_AVAILABLE,ASSIGNMENT_STATUS,VOLUME_INFO_ONLY,LIQUID_INFO_ONLY,LTP,NAV,I_NAV,NOTE
QUAL30IETF,EQUITY,Nifty 200 Quality 30,FACTOR,QUALITY,200 QUALITY 30,3,7,TIER1,AUTO,23099,NO,20.45,20.27,20.35,tier2 ignores cap segment; tier1 keeps exact index
MIDQ50ADD,EQUITY,Nifty Midcap 150 Quality 50,FACTOR,QUALITY,MIDCAP 150 QUALITY 50,0,7,TIER2,AUTO,8990,NO,24.20,23.96,24.16,tier2 ignores cap segment; tier1 keeps exact index
HDFCQUAL,EQUITY,Nifty 100 Quality 30,FACTOR,QUALITY,100 QUALITY 30,0,7,TIER2,AUTO,8797,NO,56.54,56.56,56.86,tier2 ignores cap segment; tier1 keeps exact index
QUALITY30,EQUITY,Nifty 200 Quality 30,FACTOR,QUALITY,200 QUALITY 30,3,7,TIER1,AUTO,1924,NO,19.85,19.87,19.97,tier2 ignores cap segment; tier1 keeps exact index
SBIETFQLTY,EQUITY,Nifty 200 Quality 30,FACTOR,QUALITY,200 QUALITY 30,3,7,TIER1,AUTO,1903,NO,215.01,213.12,213.98,tier2 ignores cap segment; tier1 keeps exact index
MOQUALITY,EQUITY,BSE Quality,FACTOR,QUALITY,QUALITY,0,7,TIER2,AUTO,378,NO,193.52,192.08,193.19,tier2 ignores cap segment; tier1 keeps exact index
SHARIABEES,EQUITY,Nifty 50 Shariah,FACTOR,SHARIAH,50 SHARIAH,0,0,NO,AUTO,5890,NO,443.75,438.18,440.05,tier2 ignores cap segment; tier1 keeps exact index
NV20IETF,EQUITY,Nifty 50 Value 20,FACTOR,VALUE,50 VALUE 20,3,8,TIER1,AUTO,337403,YES,13.27,13.20,13.19,tier2 ignores cap segment; tier1 keeps exact index
VAL30IETF,EQUITY,Nifty 200 Value 30,FACTOR,VALUE,200 VALUE 30,1,8,TIER1,AUTO,158592,YES,14.90,14.80,14.83,tier2 ignores cap segment; tier1 keeps exact index
NV20,EQUITY,Nifty 50 Value 20,FACTOR,VALUE,50 VALUE 20,3,8,TIER1,AUTO,45776,NO,13.57,13.53,13.53,tier2 ignores cap segment; tier1 keeps exact index
VALUEAXIS,EQUITY,Nifty 500 Value 50,FACTOR,VALUE,500 VALUE 50,1,8,TIER1,AUTO,40405,NO,32.00,31.98,32.11,tier2 ignores cap segment; tier1 keeps exact index
MOVALUE,EQUITY,BSE Enhanced Value,FACTOR,VALUE,ENHANCED VALUE,0,8,TIER2,AUTO,34522,NO,109.97,110.06,110.53,tier2 ignores cap segment; tier1 keeps exact index
NV20BEES,EQUITY,Nifty 50 Value 20,FACTOR,VALUE,50 VALUE 20,3,8,TIER1,AUTO,15612,NO,136.12,135.45,135.36,tier2 ignores cap segment; tier1 keeps exact index
VALUE,EQUITY,Nifty 500 Value 50,FACTOR,VALUE,500 VALUE 50,1,8,TIER1,AUTO,5339,NO,15.76,15.71,15.78,tier2 ignores cap segment; tier1 keeps exact index
HDFCVALUE,EQUITY,Nifty 50 Value 20,FACTOR,VALUE,50 VALUE 20,3,8,TIER1,AUTO,5105,NO,122.22,121.85,121.76,tier2 ignores cap segment; tier1 keeps exact index
SBIVALETF,EQUITY,Nifty 200 Value 30,FACTOR,VALUE,200 VALUE 30,1,8,TIER1,AUTO,855,NO,14.35,14.37,14.40,tier2 ignores cap segment; tier1 keeps exact index
MAHKTECH,GLOBAL INDICES,GLOBAL INDICES,GLOBAL,HK_EQUITY,HANG SENG TECH,0,1,TIER2,AUTO,1036306,YES,21.90,17.81,17.71,structural NAV premium — see NAV-PREMIUM-CHECK.md
HNGSNGBEES,GLOBAL INDICES,GLOBAL INDICES,GLOBAL,HK_EQUITY,HANG SENG,0,1,TIER2,AUTO,69972,NO,463.01,450.28,448.21,structural NAV premium — see NAV-PREMIUM-CHECK.md
MONQ50,GLOBAL INDICES,GLOBAL INDICES,GLOBAL,US_EQUITY,NASDAQ Q50,0,3,TIER2,AUTO,2080987,YES,330.33,116.69,116.81,structural NAV premium — see NAV-PREMIUM-CHECK.md
MON100,GLOBAL INDICES,GLOBAL INDICES,GLOBAL,US_EQUITY,NASDAQ 100,0,3,TIER2,AUTO,1275524,YES,322.85,271.53,271.80,structural NAV premium — see NAV-PREMIUM-CHECK.md
MASPTOP50,GLOBAL INDICES,GLOBAL INDICES,GLOBAL,US_EQUITY,S&P 500 TOP 50,0,3,TIER2,AUTO,1126886,YES,104.80,66.66,67.22,structural NAV premium — see NAV-PREMIUM-CHECK.md
MAFANG,GLOBAL INDICES,GLOBAL INDICES,GLOBAL,US_EQUITY,NYSE FANG+,0,3,TIER2,AUTO,651437,YES,238.90,173.63,175.07,structural NAV premium — see NAV-PREMIUM-CHECK.md
HDFCBSE500,EQUITY,BSE 500,INDEX,BROAD_MARKET_500,500,3,5,TIER1,AUTO,666863,YES,36.64,36.26,36.43,
MONIFTY500,EQUITY,Nifty 500,INDEX,BROAD_MARKET_500,500,3,5,TIER1,AUTO,505785,YES,23.25,23.07,23.21,
AONETOTAL,EQUITY,Nifty Total Market,INDEX,BROAD_MARKET_500,TOTAL MARKET,0,5,TIER2,AUTO,105305,YES,11.67,11.54,11.54,
BSE500IETF,EQUITY,BSE 500,INDEX,BROAD_MARKET_500,500,3,5,TIER1,AUTO,79176,NO,38.40,38.16,38.34,
MULTICAP,EQUITY,Nifty 500 Multicap 50:25:25,INDEX,BROAD_MARKET_500,500 MULTICAP 50:25:25,0,5,TIER2,AUTO,48266,NO,16.36,16.23,16.36,
NIF500BETA,EQUITY,Nifty 500,INDEX,BROAD_MARKET_500,500,3,5,TIER1,AUTO,3339,NO,36.48,36.25,36.45,
SELECTIPO,EQUITY,BSE Select IPO,INDEX,IPO_THEME,SELECT IPO,1,1,TIER1,AUTO,24630,NO,47.49,47.30,47.68,
MOIPO,EQUITY,BSE Select IPO,INDEX,IPO_THEME,SELECT IPO,1,1,TIER1,AUTO,4203,NO,49.89,47.32,47.18,
NIFTYBEES,EQUITY,Nifty 50,INDEX,LARGECAP_50,50,21,31,TIER1,AUTO,4732947,YES,266.36,264.82,265.42,
BSLNIFTY,EQUITY,Nifty 50,INDEX,LARGECAP_50,50,21,31,TIER1,AUTO,989867,YES,27.40,27.25,27.31,
NIFTYCASE,EQUITY,Nifty 50,INDEX,LARGECAP_50,50,21,31,TIER1,AUTO,705543,YES,9.35,9.33,9.35,
GROWWNIFTY,EQUITY,Nifty 50,INDEX,LARGECAP_50,50,21,31,TIER1,AUTO,665258,YES,9.45,9.39,9.41,
SETFNIF50,EQUITY,Nifty 50,INDEX,LARGECAP_50,50,21,31,TIER1,AUTO,487492,YES,251.99,250.27,250.84,
NIFTYIETF,EQUITY,Nifty 50,INDEX,LARGECAP_50,50,21,31,TIER1,AUTO,254440,YES,265.25,263.47,264.34,
NIFTYETF,EQUITY,Nifty 50,INDEX,LARGECAP_50,50,21,31,TIER1,AUTO,120788,YES,253.07,252.85,254.18,
HDFCNIFTY,EQUITY,Nifty 50,INDEX,LARGECAP_50,50,21,31,TIER1,AUTO,91285,NO,263.44,261.95,262.54,
AONENIFTY,EQUITY,Nifty 50,INDEX,LARGECAP_50,50,21,31,TIER1,AUTO,87123,NO,9.64,9.60,9.60,
NIFTYJBLK,EQUITY,Nifty 50,INDEX,LARGECAP_50,50,21,31,TIER1,AUTO,86852,NO,12.00,11.91,11.92,
NIFTY1,EQUITY,Nifty 50,INDEX,LARGECAP_50,50,21,31,TIER1,AUTO,56430,NO,259.20,257.97,259.63,
HDFCSENSEX,EQUITY,BSE Sensex,INDEX,LARGECAP_50,SENSEX,9,31,TIER1,AUTO,27969,NO,84.50,84.42,84.43,
NIFTYBETA,EQUITY,Nifty 50,INDEX,LARGECAP_50,50,21,31,TIER1,AUTO,25000,NO,259.27,257.72,258.30,
SENSEXETF,EQUITY,BSE Sensex,INDEX,LARGECAP_50,SENSEX,9,31,TIER1,AUTO,20812,NO,76.91,76.79,77.05,
BSLSENETFG,EQUITY,BSE SENSEX,INDEX,LARGECAP_50,SENSEX,9,31,TIER1,AUTO,17545,NO,75.05,75.03,75.04,
QNIFTY,EQUITY,Nifty 50,INDEX,LARGECAP_50,50,21,31,TIER1,AUTO,11686,NO,257.00,255.84,256.43,
NIFTYAXIS,EQUITY,Nifty 50,INDEX,LARGECAP_50,50,21,31,TIER1,AUTO,9997,NO,258.50,257.28,257.56,
SENSEXIETF,EQUITY,BSE Sensex,INDEX,LARGECAP_50,SENSEX,9,31,TIER1,AUTO,5540,NO,855.10,855.69,856.67,
NIFTYADD,EQUITY,Nifty 50,INDEX,LARGECAP_50,50,21,31,TIER1,AUTO,4220,NO,246.92,244.88,245.44,
MOM50,EQUITY,Nifty 50,INDEX,LARGECAP_50,50,21,31,TIER1,AUTO,2526,NO,243.50,243.37,244.17,
NIFTYBETF,EQUITY,Nifty 50,INDEX,LARGECAP_50,50,21,31,TIER1,AUTO,1812,NO,240.46,239.19,239.74,
SENSEXBETA,EQUITY,BSE Sensex,INDEX,LARGECAP_50,SENSEX,9,31,TIER1,AUTO,1761,NO,832.00,824.50,825.37,
IVZSENSEX,EQUITY,BSE Sensex,INDEX,LARGECAP_50,SENSEX,9,31,TIER1,AUTO,1385,NO,74.60,74.38,-,
NETF,EQUITY,Nifty 50,INDEX,LARGECAP_50,50,21,31,TIER1,AUTO,1110,NO,252.00,252.98,253.49,
IDFNIFTYET,EQUITY,Nifty 50,INDEX,LARGECAP_50,50,21,31,TIER1,AUTO,1001,NO,257.00,256.81,257.40,
ENIFTY,EQUITY,Nifty 50,INDEX,LARGECAP_50,50,21,31,TIER1,AUTO,975,NO,23.49,23.42,23.46,
SENSEXAXIS,EQUITY,BSE Sensex,INDEX,LARGECAP_50,SENSEX,9,31,TIER1,AUTO,602,NO,77.25,77.22,77.23,
IVZINNIFTY,EQUITY,Nifty 50,INDEX,LARGECAP_50,50,21,31,TIER1,AUTO,573,NO,267.52,266.56,267.17,
SENSEXADD,EQUITY,BSE Sensex,INDEX,LARGECAP_50,SENSEX,9,31,TIER1,AUTO,414,NO,76.96,76.75,76.76,
ESENSEX,EQUITY,BSE Sensex,INDEX,LARGECAP_50,SENSEX,9,31,TIER1,AUTO,298,NO,75.16,74.90,74.87,
LICNETFN50,EQUITY,Nifty 50,INDEX,LARGECAP_50,50,21,31,TIER1,AUTO,144,NO,260.54,260.74,261.83,
LICNETFSEN,EQUITY,BSE Sensex,INDEX,LARGECAP_50,SENSEX,9,31,TIER1,AUTO,0,NO,841.79,840.45,841.33,
ELM250,EQUITY,Nifty LargeMidcap 250,INDEX,LARGEMIDCAP,LARGEMIDCAP 250,0,0,NO,AUTO,32891,NO,16.19,16.06,16.05,
MIDCAPETF,EQUITY,Nifty Midcap 150,INDEX,MIDCAP,MIDCAP 150,9,14,TIER1,AUTO,1380411,YES,23.13,22.89,23.14,
MID150CASE,EQUITY,Nifty Midcap 150,INDEX,MIDCAP,MIDCAP 150,9,14,TIER1,AUTO,778742,YES,11.40,11.27,11.37,
HDFCMID150,EQUITY,Nifty Midcap 150,INDEX,MIDCAP,MIDCAP 150,9,14,TIER1,AUTO,671075,YES,22.90,22.67,22.86,
MID150,EQUITY,Nifty Midcap 150,INDEX,MIDCAP,MIDCAP 150,9,14,TIER1,AUTO,635762,YES,22.93,-,22.97,
MIDCAPIETF,EQUITY,Nifty Midcap 150,INDEX,MIDCAP,MIDCAP 150,9,14,TIER1,AUTO,576797,YES,23.43,23.17,23.37,
MID150BEES,EQUITY,Nifty Midcap 150,INDEX,MIDCAP,MIDCAP 150,9,14,TIER1,AUTO,467925,YES,234.49,231.45,233.46,
MIDSELIETF,EQUITY,BSE Midcap Select,INDEX,MIDCAP,MIDCAP SELECT,0,14,TIER2,AUTO,408836,YES,19.34,19.31,19.44,
MOM100,EQUITY,Nifty Midcap 100,INDEX,MIDCAP,MIDCAP 100,2,14,TIER1,AUTO,218093,YES,66.66,65.74,66.34,
MIDCAP,EQUITY,NIFTY Midcap 50,INDEX,MIDCAP,MIDCAP 50,0,14,TIER2,AUTO,133637,YES,18.11,17.95,18.12,
MIDCAPBETA,EQUITY,Nifty Midcap 150,INDEX,MIDCAP,MIDCAP 150,9,14,TIER1,AUTO,26478,NO,227.98,226.25,228.26,
MIDCAPADD,EQUITY,Nifty Midcap 150,INDEX,MIDCAP,MIDCAP 150,9,14,TIER1,AUTO,18839,NO,22.70,22.44,22.64,
SBINMID150,EQUITY,Nifty Midcap 150,INDEX,MIDCAP,MIDCAP 150,9,14,TIER1,AUTO,9273,NO,22.75,22.43,22.63,
MOLOWVOL,EQUITY,Nifty Midcap 100,INDEX,MIDCAP,MIDCAP 100,2,14,TIER1,AUTO,6873,NO,35.40,35.03,35.22,
LICNMID100,EQUITY,Nifty Midcap 100,INDEX,MIDCAP,MIDCAP 100,2,14,TIER1,AUTO,3565,NO,62.39,61.32,61.97,
GROWWMC150,EQUITY,Nifty Midcap 150,INDEX,MIDCAP,MIDCAP 150,9,14,TIER1,AUTO,149,NO,226.50,224.42,226.43,
MSCI360,EQUITY,MSCI India,INDEX,MSCI_INDIA,MSCI INDIA,3,3,TIER1,AUTO,40209,NO,9.86,9.76,9.75,
MSCIADD,EQUITY,MSCI India,INDEX,MSCI_INDIA,MSCI INDIA,3,3,TIER1,AUTO,10146,NO,28.63,28.53,28.68,
MSCIINDIA,EQUITY,MSCI India,INDEX,MSCI_INDIA,MSCI INDIA,3,3,TIER1,AUTO,4050,NO,29.05,28.82,28.97,
ABSLMSCIN,EQUITY,MSCI India,INDEX,MSCI_INDIA,MSCI INDIA,3,3,TIER1,AUTO,249,NO,28.72,28.51,28.65,
NEXT50IETF,EQUITY,Nifty Next 50,INDEX,NEXT_50,NEXT 50,11,14,TIER1,AUTO,369232,YES,75.20,74.33,75.17,
JUNIORBEES,EQUITY,Nifty Next 50,INDEX,NEXT_50,NEXT 50,11,14,TIER1,AUTO,212891,YES,773.40,761.77,770.16,
NEXT50BETA,EQUITY,Nifty Next 50,INDEX,NEXT_50,NEXT 50,11,14,TIER1,AUTO,178892,YES,77.45,76.08,76.92,
HDFCNEXT50,EQUITY,Nifty Next 50,INDEX,NEXT_50,NEXT 50,11,14,TIER1,AUTO,93622,NO,72.99,72.00,72.76,
ABSLNN50ET,EQUITY,Nifty Next 50,INDEX,NEXT_50,NEXT 50,11,14,TIER1,AUTO,71455,NO,74.80,74.17,74.99,
NEXT50,EQUITY,Nifty Next 50,INDEX,NEXT_50,NEXT 50,11,14,TIER1,AUTO,26277,NO,736.25,727.36,735.18,
NEXT50ADD,EQUITY,Nifty Next 50,INDEX,NEXT_50,NEXT 50,11,14,TIER1,AUTO,23050,NO,71.45,70.78,71.57,
SETFNN50,EQUITY,Nifty Next 50,INDEX,NEXT_50,NEXT 50,11,14,TIER1,AUTO,13672,NO,765.00,755.14,763.46,
GROWWNXT50,EQUITY,Nifty Next 50,INDEX,NEXT_50,NEXT 50,11,14,TIER1,AUTO,9931,NO,71.34,70.72,-,
NEXT50ETF,EQUITY,Nifty Next 50,INDEX,NEXT_50,NEXT 50,11,14,TIER1,AUTO,7471,NO,71.70,70.94,71.70,
SNXT30BEES,EQUITY,BSE Sensex Next 30,INDEX,NEXT_50,SENSEX NEXT 30,1,14,TIER1,AUTO,2988,NO,41.93,41.49,41.85,
MONEXT50,EQUITY,Nifty Next 50,INDEX,NEXT_50,NEXT 50,11,14,TIER1,AUTO,2801,NO,71.28,70.34,71.12,
SNXT50BETA,EQUITY,BSE SENSEX Next 50,INDEX,NEXT_50,SENSEX NEXT 50,0,14,TIER2,AUTO,1834,NO,91.60,92.20,92.95,
NEXT30ADD,EQUITY,BSE SENSEX Next 30,INDEX,NEXT_50,SENSEX NEXT 30,1,14,TIER1,AUTO,1001,NO,41.97,41.60,41.95,
ENEXT50,EQUITY,Nifty Next 50,INDEX,NEXT_50,NEXT 50,11,14,TIER1,AUTO,56,NO,70.89,70.17,70.56,
TOP100CASE,EQUITY,Nifty 100,INDEX,NIFTY_100,100,5,5,TIER1,AUTO,1171887,YES,10.32,10.21,10.25,
NIF100BEES,EQUITY,Nifty 100,INDEX,NIFTY_100,100,5,5,TIER1,AUTO,135501,YES,257.78,257.85,258.86,
NIF100IETF,EQUITY,Nifty 100,INDEX,NIFTY_100,100,5,5,TIER1,AUTO,47616,NO,27.31,27.12,27.25,
HDFCNIF100,EQUITY,Nifty 100,INDEX,NIFTY_100,100,5,5,TIER1,AUTO,26558,NO,25.32,25.13,25.23,
MONIFTY100,EQUITY,Nifty 100,INDEX,NIFTY_100,100,5,5,TIER1,AUTO,6165,NO,24.54,24.45,24.57,
LICNFNHGP,EQUITY,Nifty 100,INDEX,NIFTY_100,100,5,5,TIER1,AUTO,303,NO,272.24,266.43,267.68,
GROWWN200,EQUITY,Nifty 200,INDEX,NIFTY_200,200,0,0,NO,AUTO,14665,NO,11.03,10.96,11.01,
HDFCSML250,EQUITY,Nifty Smallcap 250,INDEX,SMALLCAP,SMALLCAP 250,6,7,TIER1,AUTO,1665599,YES,182.00,180.16,181.61,
SML100CASE,EQUITY,Nifty Smallcap100,INDEX,SMALLCAP,SMALLCAP100,0,7,TIER2,AUTO,770506,YES,11.16,11.03,11.11,
MOSMALL250,EQUITY,Nifty Smallcap 250,INDEX,SMALLCAP,SMALLCAP 250,6,7,TIER1,AUTO,713339,YES,18.22,17.96,18.12,
GROWWSC250,EQUITY,Nifty Smallcap 250,INDEX,SMALLCAP,SMALLCAP 250,6,7,TIER1,AUTO,379744,YES,10.50,10.32,10.40,
SMALL250,EQUITY,Nifty Smallcap 250,INDEX,SMALLCAP,SMALLCAP 250,6,7,TIER1,AUTO,257569,YES,18.10,17.93,-,
SMALLIETF,EQUITY,Nifty Smallcap 250,INDEX,SMALLCAP,SMALLCAP 250,6,7,TIER1,AUTO,67545,NO,18.01,17.90,18.05,
SMALLADD,EQUITY,Nifty Smallcap 250,INDEX,SMALLCAP,SMALLCAP 250,6,7,TIER1,AUTO,12790,NO,18.16,17.97,18.13,
SBISMLETF,EQUITY,Nifty Smallcap 250,INDEX,SMALLCAP,SMALLCAP 250,6,7,TIER1,AUTO,10469,NO,18.14,17.89,18.03,
AUTOIETF,EQUITY,Nifty Auto,SECTOR,AUTO,AUTO,1,4,TIER1,AUTO,752124,YES,28.36,27.89,28.21,
GROWWEV,EQUITY,Nifty EV and New Age Automotive,SECTOR,AUTO,EV AND NEW AGE AUTOMOTIVE,2,4,TIER1,AUTO,258717,YES,31.71,31.30,31.65,
AUTOBEES,EQUITY,Nifty Auto,SECTOR,AUTO,AUTO,1,4,TIER1,AUTO,144505,YES,283.04,278.38,281.12,
EVIETF,EQUITY,Nifty EV and New Age Automotive,SECTOR,AUTO,EV AND NEW AGE AUTOMOTIVE,2,4,TIER1,AUTO,143068,YES,31.92,31.38,31.75,
EVINDIA,EQUITY,Nifty EV and New Age Automotive,SECTOR,AUTO,EV AND NEW AGE AUTOMOTIVE,2,4,TIER1,AUTO,121664,YES,31.81,31.43,31.78,
BANKIETF,EQUITY,Nifty Bank,SECTOR,BANKING,BANK,13,36,TIER1,AUTO,2307654,YES,58.02,57.89,57.72,
PVTBANIETF,EQUITY,Nifty Private Bank,SECTOR,BANKING,PRIVATE BANK,7,36,TIER1,AUTO,2030986,YES,27.62,27.61,27.55,
BANKNIFTY1,EQUITY,Nifty Bank,SECTOR,BANKING,BANK,13,36,TIER1,AUTO,1798682,YES,58.17,58.51,58.77,
BANKBETA,EQUITY,Nifty Bank,SECTOR,BANKING,BANK,13,36,TIER1,AUTO,1751884,YES,58.17,58.31,58.06,
PSUBNKBEES,EQUITY,Nifty PSU Bank,SECTOR,BANKING,PSU BANK,7,36,TIER1,AUTO,1436668,YES,92.31,92.45,92.30,
BANKBEES,EQUITY,Nifty Bank,SECTOR,BANKING,BANK,13,36,TIER1,AUTO,514509,YES,582.09,583.63,581.18,
SETFNIFBK,EQUITY,Nifty Bank,SECTOR,BANKING,BANK,13,36,TIER1,AUTO,260815,YES,577.75,579.01,576.58,
FINIETF,EQUITY,Nifty Financial Services Ex-Bank,SECTOR,BANKING,FINANCIAL SERVICES EX-BANK,0,36,TIER2,AUTO,250140,YES,32.04,31.59,31.93,
HDFCPVTBAN,EQUITY,Nifty Private Bank,SECTOR,BANKING,PRIVATE BANK,7,36,TIER1,AUTO,225252,YES,27.83,27.85,27.73,
SBIBPB,EQUITY,BSE PSU Bank,SECTOR,BANKING,PSU BANK,7,36,TIER1,AUTO,86400,NO,48.22,48.03,47.96,
TNIDETF,EQUITY,Nifty Private Bank,SECTOR,BANKING,PRIVATE BANK,7,36,TIER1,AUTO,57525,NO,88.02,88.73,88.22,
PSUBNKIETF,EQUITY,Nifty PSU Bank,SECTOR,BANKING,PSU BANK,7,36,TIER1,AUTO,43257,NO,84.21,83.96,83.77,
PSUBANK,EQUITY,Nifty PSU Bank,SECTOR,BANKING,PSU BANK,7,36,TIER1,AUTO,38641,NO,82.84,82.86,83.91,
ABSLBANETF,EQUITY,Nifty Bank,SECTOR,BANKING,BANK,13,36,TIER1,AUTO,29639,NO,57.35,57.79,57.55,
PVTBANKADD,EQUITY,Nifty Private Bank,SECTOR,BANKING,PRIVATE BANK,7,36,TIER1,AUTO,26754,NO,27.66,27.75,27.63,
BANKETF,EQUITY,Nifty Bank,SECTOR,BANKING,BANK,13,36,TIER1,AUTO,22817,NO,572.76,574.38,574.47,
HDFCNIFBAN,EQUITY,Nifty Bank,SECTOR,BANKING,BANK,13,36,TIER1,AUTO,19963,NO,57.78,58.03,57.78,
PSUBANKADD,EQUITY,Nifty PSU Bank,SECTOR,BANKING,PSU BANK,7,36,TIER1,AUTO,19080,NO,83.38,83.71,83.58,
BANKPSU,EQUITY,Nifty PSU Bank,SECTOR,BANKING,PSU BANK,7,36,TIER1,AUTO,17015,NO,83.40,83.49,83.65,
BANK10BETF,EQUITY,BSE Top 10 Banks,SECTOR,BANKING,TOP 10 BANKS,4,36,TIER1,AUTO,12244,NO,20.20,20.41,-,
HDFCPSUBK,EQUITY,Nifty PSU Bank,SECTOR,BANKING,PSU BANK,7,36,TIER1,AUTO,10748,NO,83.14,83.75,83.61,
SBIETFPB,EQUITY,Nifty Private Bank,SECTOR,BANKING,PRIVATE BANK,7,36,TIER1,AUTO,6642,NO,280.05,279.17,277.99,
MIDBANKADD,EQUITY,BSE MidSmall Private Banks,SECTOR,BANKING,MIDSMALL PRIVATE BANKS,0,36,TIER2,AUTO,6401,NO,17.12,17.12,17.08,
BANKBETF,EQUITY,Nifty Bank,SECTOR,BANKING,BANK,13,36,TIER1,AUTO,4493,NO,57.18,57.30,57.06,
BANK10ADD,EQUITY,BSE Top 10 Banks,SECTOR,BANKING,TOP 10 BANKS,4,36,TIER1,AUTO,4466,NO,16.50,16.58,16.47,
BANKADD,EQUITY,Nifty Bank,SECTOR,BANKING,BANK,13,36,TIER1,AUTO,4145,NO,57.37,57.71,57.47,
PVTBKGROWW,EQUITY,Nifty Private Bank,SECTOR,BANKING,PRIVATE BANK,7,36,TIER1,AUTO,3592,NO,27.24,27.41,27.29,
GROWWPSUBK,EQUITY,Nifty PSU Bank,SECTOR,BANKING,PSU BANK,7,36,TIER1,AUTO,3497,NO,83.99,83.00,82.87,
EBANK10,EQUITY,BSE Top 10 Banks,SECTOR,BANKING,TOP 10 BANKS,4,36,TIER1,AUTO,3478,NO,16.22,16.46,17.32,
BBNPNBETF,EQUITY,NIFTY Bank,SECTOR,BANKING,BANK,13,36,TIER1,AUTO,3324,NO,56.62,56.80,56.56,
ABSL10BANK,EQUITY,BSE Top 10 Banks,SECTOR,BANKING,TOP 10 BANKS,4,36,TIER1,AUTO,2339,NO,164.55,165.73,164.65,
PVTBANK,EQUITY,Nifty Private Bank,SECTOR,BANKING,PRIVATE BANK,7,36,TIER1,AUTO,1080,NO,27.23,27.37,27.25,
IVZBANKNF,EQUITY,Nifty Bank,SECTOR,BANKING,BANK,13,36,TIER1,AUTO,962,NO,55.99,56.24,-,
BNKETFAXIS,EQUITY,Nifty Bank,SECTOR,BANKING,BANK,13,36,TIER1,AUTO,592,NO,580.10,581.19,582.34,
EBANKNIFTY,EQUITY,Nifty Bank,SECTOR,BANKING,BANK,13,36,TIER1,AUTO,519,NO,56.74,56.84,56.45,
NPBET,EQUITY,Nifty Private Bank,SECTOR,BANKING,PRIVATE BANK,7,36,TIER1,AUTO,386,NO,282.00,283.10,281.86,
MOBANK10,EQUITY,BSE Top 10 Banks,SECTOR,BANKING,TOP 10 BANKS,4,36,TIER1,AUTO,292,NO,16.60,16.59,16.51,
CHEMICAL,EQUITY,Nifty Chemicals,SECTOR,CHEMICALS,CHEMICALS,1,1,TIER1,AUTO,271437,YES,29.15,28.86,29.05,
GROWWCHEM,EQUITY,Nifty Chemicals,SECTOR,CHEMICALS,CHEMICALS,1,1,TIER1,AUTO,30831,NO,29.35,28.80,29.01,
COMMOIETF,EQUITY,Nifty Commodities,SECTOR,COMMODITIES_EQUITY,COMMODITIES,0,0,NO,AUTO,23268,NO,97.43,96.37,96.93,
MODEFENCE,EQUITY,Nifty India Defence,SECTOR,DEFENCE,INDIA DEFENCE,2,2,TIER1,AUTO,1783984,YES,102.00,100.27,101.62,
DEFENCE,EQUITY,BSE India Defence,SECTOR,DEFENCE,INDIA DEFENCE,2,2,TIER1,AUTO,270552,YES,77.81,76.78,77.83,
GROWWDEFNC,EQUITY,Nifty India Defence,SECTOR,DEFENCE,INDIA DEFENCE,2,2,TIER1,AUTO,180595,YES,92.06,91.15,92.57,
OILIETF,EQUITY,Nifty Oil & Gas,SECTOR,ENERGY,OIL & GAS,1,5,TIER1,AUTO,9119991,YES,11.04,11.05,11.03,
GROWWPOWER,EQUITY,BSE Power,SECTOR,ENERGY,POWER,0,5,TIER2,AUTO,1714886,YES,11.07,10.94,11.08,
ENERGY,EQUITY,Nifty Energy,SECTOR,ENERGY,ENERGY,2,5,TIER1,AUTO,237663,YES,37.72,37.50,37.70,
MOENERGY,EQUITY,Nifty Energy,SECTOR,ENERGY,ENERGY,2,5,TIER1,AUTO,65244,NO,37.57,37.42,37.61,
ENERGYAXIS,EQUITY,Nifty Energy,SECTOR,ENERGY,ENERGY,2,5,TIER1,AUTO,22143,NO,18.76,18.64,18.68,
MOOILGAS,EQUITY,Nifty Oil & Gas,SECTOR,ENERGY,OIL & GAS,1,5,TIER1,AUTO,5229,NO,10.90,10.89,10.71,
INSUREIETF,EQUITY,BSE Insurance,SECTOR,FINANCIAL_SERVICES,INSURANCE,0,4,TIER2,AUTO,1516024,YES,15.06,14.66,15.18,
MOCAPITAL,EQUITY,Nifty Capital Market,SECTOR,FINANCIAL_SERVICES,CAPITAL MARKET,1,4,TIER1,AUTO,864265,YES,53.16,52.46,52.88,
GROWWCAPM,EQUITY,Nifty Capital Market,SECTOR,FINANCIAL_SERVICES,CAPITAL MARKET,1,4,TIER1,AUTO,735659,YES,11.10,11.01,11.12,
BFSI,EQUITY,Nifty Financial Services,SECTOR,FINANCIAL_SERVICES,FINANCIAL SERVICES,0,4,TIER2,AUTO,77632,NO,26.31,26.29,26.45,
ECAPINSURE,EQUITY,BSE Capital Markets & Insurance,SECTOR,FINANCIAL_SERVICES,CAPITAL MARKETS & INSURANCE,0,4,TIER2,AUTO,27955,NO,23.56,23.01,23.46,
FMCGIETF,EQUITY,Nifty FMCG,SECTOR,FMCG_CONSUMPTION,FMCG,1,7,TIER1,AUTO,973192,YES,49.31,48.98,49.05,
