SYMBOL,SCHEME_NAME,AMC,BENCHMARK_INDEX,ISIN,EXPENSE_RATIO,LAUNCH_DATE,UNDERLYING_ASSET,SOURCE,FETCHED_AT,ERROR
GROWWNET,,,,,,,,,2026-09-20T14:35:11+00:00,
GROWWNIFTY,,,,,,,,,2026-09-20T14:35:11+00:00,
GROWWNXT50,,,,,,,,,2026-09-20T14:35:11+00:00,
GROWWPOWER,,,,,,,,,2026-09-20T14:35:11+00:00,
GROWWPSE,,,,,,,,,2026-09-20T14:35:11+00:00,
GROWWPSUBK,,,,,,,,,2026-09-20T14:35:11+00:00,
GROWWRAIL,,,,,,,,,2026-09-20T14:35:11+00:00,
GROWWRLTY,,,,,,,,,2026-09-20T14:35:11+00:00,
GROWWSC250,,,,,,,,,2026-09-20T14:35:11+00:00,
GROWWSLVR,,,,,,,,,2026-09-20T14:35:11+00:00,
HDFCBSE500,,,,,,,,,2026-09-20T14:35:11+00:00,
HDFCGOLD,,,,,,,,,2026-09-20T14:35:11+00:00,
HDFCGROWTH,,,,,,,,,2026-09-20T14:35:11+00:00,
HDFCLOWVOL,,,,,,,,,2026-09-20T14:35:11+00:00,
HDFCMID150,,,,,,,,,2026-09-20T14:35:11+00:00,
HDFCMOMENT,,,,,,,,,2026-09-20T14:35:11+00:00,
HDFCNEXT50,,,,,,,,,2026-09-20T14:35:11+00:00,
HDFCNIF100,,,,,,,,,2026-09-20T14:35:11+00:00,
HDFCNIFBAN,,,,,,,,,2026-09-20T14:35:11+00:00,
HDFCNIFIT,,,,,,,,,2026-09-20T14:35:11+00:00,
HDFCNIFTY,,,,,,,,,2026-09-20T14:35:11+00:00,
HDFCNIMEG,,,,,,,,,2026-09-20T14:35:11+00:00,
HDFCPSUBK,,,,,,,,,2026-09-20T14:35:11+00:00,
HDFCPVTBAN,,,,,,,,,2026-09-20T14:35:11+00:00,
HDFCQUAL,,,,,,,,,2026-09-20T14:35:11+00:00,
HDFCSENSEX,,,,,,,,,2026-09-20T14:35:11+00:00,
HDFCSILVER,,,,,,,,,2026-09-20T14:35:11+00:00,
HDFCSML250,,,,,,,,,2026-09-20T14:35:11+00:00,
HDFCVALUE,,,,,,,,,2026-09-20T14:35:11+00:00,
HEALTHADD,,,,,,,,,2026-09-20T14:35:11+00:00,
HEALTHAXIS,,,,,,,,,2026-09-20T14:35:11+00:00,
HEALTHCARE,,,,,,,,,2026-09-20T14:35:11+00:00,
HEALTHIETF,,,,,,,,,2026-09-20T14:35:11+00:00,
HEALTHY,,,,,,,,,2026-09-20T14:35:11+00:00,
HNGSNGBEES,,,,,,,,,2026-09-20T14:35:11+00:00,
HSBCGOLD,,,,,,,,,2026-09-20T14:35:11+00:00,
ICICIB22,,,,,,,,,2026-09-20T14:35:11+00:00,
IDFNIFTYET,,,,,,,,,2026-09-20T14:35:11+00:00,
INFRA,,,,,,,,,2026-09-20T14:35:11+00:00,
INFRABEES,,,,,,,,,2026-09-20T14:35:11+00:00,
INFRAIETF,,,,,,,,,2026-09-20T14:35:11+00:00,
INSUREIETF,,,,,,,,,2026-09-20T14:35:11+00:00,
INTERNET,,,,,,,,,2026-09-20T14:35:11+00:00,
IT,,,,,,,,,2026-09-20T14:35:11+00:00,
ITADD,,,,,,,,,2026-09-20T14:35:11+00:00,
ITAXIS,,,,,,,,,2026-09-20T14:35:11+00:00,
ITBEES,,,,,,,,,2026-09-20T14:35:11+00:00,
ITBETA,,,,,,,,,2026-09-20T14:35:11+00:00,
ITETF,,,,,,,,,2026-09-20T14:35:11+00:00,
ITIETF,,,,,,,,,2026-09-20T14:35:11+00:00,
IVZBANKNF,,,,,,,,,2026-09-20T14:35:11+00:00,
IVZINGOLD,,,,,,,,,2026-09-20T14:35:11+00:00,
IVZINNIFTY,,,,,,,,,2026-09-20T14:35:11+00:00,
IVZSENSEX,,,,,,,,,2026-09-20T14:35:11+00:00,
JUNIORBEES,,,,,,,,,2026-09-20T14:35:11+00:00,
LARGEMID50,,,,,,,,,2026-09-20T14:35:11+00:00,
LICMFGOLD,,,,,,,,,2026-09-20T14:35:11+00:00,
LICNETFN50,,,,,,,,,2026-09-20T14:35:11+00:00,
LICNETFSEN,,,,,,,,,2026-09-20T14:35:11+00:00,
LICNFNHGP,,,,,,,,,2026-09-20T14:35:11+00:00,
LICNMID100,,,,,,,,,2026-09-20T14:35:11+00:00,
LOWVOL,,,,,,,,,2026-09-20T14:35:11+00:00,
LOWVOL1,,,,,,,,,2026-09-20T14:35:11+00:00,
LOWVOLIETF,,,,,,,,,2026-09-20T14:35:11+00:00,
MAFANG,,,,,,,,,2026-09-20T14:35:11+00:00,
MAHKTECH,,,,,,,,,2026-09-20T14:35:11+00:00,
MAKEINDIA,,,,,,,,,2026-09-20T14:35:11+00:00,
MANUFGBEES,,,,,,,,,2026-09-20T14:35:11+00:00,
