SYMBOL,NSE_CATEGORY,NSE_SUB_CATEGORY,ATOM_BUCKET,TIER2_GROUP,TIER1_INDEX,ASSIGNMENT_STATUS,REVIEW_STATE,ASSIGNED_BY,ASSIGNED_AT,VOLUME,LIQUID,TRADABLE,HARVEST_PEERS_TIER1,HARVEST_PEERS_TIER2,HARVEST_VIABLE,LTP,NAV,I_NAV,NOTE
SBISILVER,COMMODITY,SILVER,COMMODITY,SILVER,SILVER,AUTO,PENDING,,,817072,YES,YES,13,13,TIER1,222.25,224.37,221.83,
SILVERBETA,COMMODITY,SILVER,COMMODITY,SILVER,SILVER,AUTO,PENDING,,,763766,YES,YES,13,13,TIER1,218.40,221.04,-,
SILVER,COMMODITY,SILVER,COMMODITY,SILVER,SILVER,AUTO,PENDING,,,521415,YES,YES,13,13,TIER1,226.51,228.66,226.05,
AONESILVER,COMMODITY,SILVER,COMMODITY,SILVER,SILVER,AUTO,PENDING,,,354829,YES,YES,13,13,TIER1,8.68,8.75,8.77,
SILVERAG,COMMODITY,SILVER,COMMODITY,SILVER,SILVER,AUTO,PENDING,,,296566,YES,YES,13,13,TIER1,220.40,222.90,219.88,
SILVERAXIS,COMMODITY,SILVER,COMMODITY,SILVER,SILVER,AUTO,PENDING,,,265264,YES,YES,13,13,TIER1,225.46,227.62,223.64,
ESILVER,COMMODITY,SILVER,COMMODITY,SILVER,SILVER,AUTO,PENDING,,,87265,NO,NO,0,0,NO,226.00,228.64,220.97,
MOSILVER,COMMODITY,SILVER,COMMODITY,SILVER,SILVER,AUTO,PENDING,,,21273,NO,NO,0,0,NO,224.39,226.31,224.12,
SILVER001,COMMODITY,SILVER,COMMODITY,SILVER,SILVER,AUTO,PENDING,,,15756,NO,NO,0,0,NO,22.94,23.13,22.95,
SILVER360,COMMODITY,SILVER,COMMODITY,SILVER,SILVER,AUTO,PENDING,,,5530,NO,NO,0,0,NO,223.88,225.26,-,
SILVERBND,COMMODITY,SILVER,COMMODITY,SILVER,SILVER,AUTO,PENDING,,,5427,NO,NO,0,0,NO,226.75,229.54,228.20,
ALPHAETF,EQUITY,Nifty 200 Alpha 30,FACTOR,ALPHA_LARGECAP200,200 ALPHA 30,AUTO,PENDING,,,738021,YES,YES,0,0,NO,26.00,25.71,26.03,factor split by cap segment (Q-202)
ALPHA,EQUITY,NIFTY Alpha 50,FACTOR,ALPHA_LARGECAP50,ALPHA 50,AUTO,PENDING,,,786376,YES,YES,0,0,NO,53.04,52.37,52.92,factor split by cap segment (Q-202)
MOALPHA50,EQUITY,Nifty Alpha 50,FACTOR,ALPHA_LARGECAP50,ALPHA 50,AUTO,PENDING,,,2418,NO,NO,0,0,NO,55.07,54.35,54.78,factor split by cap segment (Q-202)
DIVIDEND,EQUITY,BSE 500 Dividend Leaders 50,FACTOR,DIVIDEND_BROAD500,500 DIVIDEND LEADERS 50,AUTO,PENDING,,,3816,NO,NO,0,0,NO,34.82,34.65,34.77,factor split by cap segment (Q-202)
DIVOPPBEES,EQUITY,Nifty Dividend Opportunities 50,FACTOR,DIVIDEND_LARGECAP50,DIVIDEND OPPORTUNITIES 50,AUTO,PENDING,,,16908,NO,NO,0,0,NO,75.19,74.51,74.68,factor split by cap segment (Q-202)
ELMDIV,EQUITY,BSE LargeMid (60:40) Stable Dividend 50,FACTOR,DIVIDEND_LARGEMID,LARGEMID (60:40) STABLE DIVIDEND 50,AUTO,PENDING,,,1592,NO,NO,0,0,NO,35.10,35.11,36.05,factor split by cap segment (Q-202)
LARGEMID50,EQUITY,BSE LargeMid (60:40) Stable Dividend 50,FACTOR,DIVIDEND_LARGEMID,LARGEMID (60:40) STABLE DIVIDEND 50,AUTO,PENDING,,,1283,NO,NO,0,0,NO,35.31,35.11,-,factor split by cap segment (Q-202)
NIFTY100EW,EQUITY,Nifty 100 Equal Weight,FACTOR,EQUAL_WEIGHT_LARGECAP100,100 EQUAL WEIGHT,AUTO,PENDING,,,37581,NO,NO,0,0,NO,34.27,33.80,34.07,factor split by cap segment (Q-202)
EQUAL200,EQUITY,BSE 200 Equal Weight,FACTOR,EQUAL_WEIGHT_LARGECAP200,200 EQUAL WEIGHT,AUTO,PENDING,,,41542,NO,NO,0,0,NO,13.44,11.31,-,factor split by cap segment (Q-202)
TOP10ADD,EQUITY,Nifty Top 10 Equal Weight,FACTOR,EQUAL_WEIGHT_LARGECAP50,TOP 10 EQUAL WEIGHT,AUTO,PENDING,,,453187,YES,YES,0,0,NO,85.50,85.08,85.09,factor split by cap segment (Q-202)
TOP20,EQUITY,Nifty Top 20 Equal Weight,FACTOR,EQUAL_WEIGHT_LARGECAP50,TOP 20 EQUAL WEIGHT,AUTO,PENDING,,,69451,NO,NO,0,0,NO,8.67,8.61,8.65,factor split by cap segment (Q-202)
TOP15IETF,EQUITY,Nifty Top 15 Equal Weight,FACTOR,EQUAL_WEIGHT_LARGECAP50,TOP 15 EQUAL WEIGHT,AUTO,PENDING,,,31445,NO,NO,0,0,NO,9.55,9.48,9.49,factor split by cap segment (Q-202)
SBINEQWETF,EQUITY,Nifty 50 Equal Weight,FACTOR,EQUAL_WEIGHT_LARGECAP50,50 EQUAL WEIGHT,AUTO,PENDING,,,15561,NO,NO,0,0,NO,32.59,32.18,32.41,factor split by cap segment (Q-202)
MON50EQUAL,EQUITY,NIFTY 50 Equal Weight,FACTOR,EQUAL_WEIGHT_LARGECAP50,50 EQUAL WEIGHT,AUTO,PENDING,,,6362,NO,NO,0,0,NO,32.40,32.12,-,factor split by cap segment (Q-202)
EQUAL50ADD,EQUITY,NIFTY 50 Equal Weight,FACTOR,EQUAL_WEIGHT_LARGECAP50,50 EQUAL WEIGHT,AUTO,PENDING,,,6248,NO,NO,0,0,NO,334.25,330.81,333.16,factor split by cap segment (Q-202)
EQUAL50,EQUITY,Nifty 50 Equal Weight,FACTOR,EQUAL_WEIGHT_LARGECAP50,50 EQUAL WEIGHT,AUTO,PENDING,,,528,NO,NO,0,0,NO,323.05,320.26,323.00,factor split by cap segment (Q-202)
ESG,EQUITY,Nifty 100 ESG Sector Leaders,FACTOR,ESG_LARGECAP100,100 ESG SECTOR LEADERS,AUTO,PENDING,,,26115,NO,NO,0,0,NO,40.05,39.83,40.07,factor split by cap segment (Q-202)
HDFCGROWTH,EQUITY,Nifty Growth Sectors 15,FACTOR,GROWTH_UNSPECIFIED,GROWTH SECTORS 15,AUTO,PENDING,,,7899,NO,NO,0,0,NO,115.80,114.92,115.14,factor split by cap segment (Q-202)
GROWWLOVOL,EQUITY,Nifty 500 Low Volatility 50,FACTOR,LOW_VOLATILITY_BROAD500,500 LOW VOLATILITY 50,AUTO,PENDING,,,11111,NO,NO,0,0,NO,10.06,10.04,10.11,factor split by cap segment (Q-202)
LOWVOLIETF,EQUITY,Nifty 100 Low Volatility 30,FACTOR,LOW_VOLATILITY_LARGECAP100,100 LOW VOLATILITY 30,AUTO,PENDING,,,472478,YES,YES,0,0,NO,21.31,21.32,21.42,factor split by cap segment (Q-202)
HDFCLOWVOL,EQUITY,Nifty 100 Low Volatility 30,FACTOR,LOW_VOLATILITY_LARGECAP100,100 LOW VOLATILITY 30,AUTO,PENDING,,,4264,NO,NO,0,0,NO,20.05,19.85,19.92,factor split by cap segment (Q-202)
LOWVOL1,EQUITY,NIFTY 100 Low Volatility 30,FACTOR,LOW_VOLATILITY_LARGECAP100,100 LOW VOLATILITY 30,AUTO,PENDING,,,3967,NO,NO,0,0,NO,20.32,20.33,20.41,factor split by cap segment (Q-202)
LOWVOL,EQUITY,Nifty 100 Low Volatility 30,FACTOR,LOW_VOLATILITY_LARGECAP100,100 LOW VOLATILITY 30,AUTO,PENDING,,,2030,NO,NO,0,0,NO,199.88,198.64,199.62,factor split by cap segment (Q-202)
ALPL30IETF,EQUITY,Nifty Alpha Low-Volatility 30,FACTOR,LOW_VOLATILITY_UNSPECIFIED,ALPHA LOW-VOLATILITY 30,AUTO,PENDING,,,894010,YES,YES,0,0,NO,26.93,26.89,27.07,factor split by cap segment (Q-202)
MOMENTUM50,EQUITY,Nifty 500 Momentum 50,FACTOR,MOMENTUM_BROAD500,500 MOMENTUM 50,AUTO,PENDING,,,239860,YES,YES,0,0,NO,53.25,52.46,53.17,factor split by cap segment (Q-202)
GROWWMOM50,EQUITY,Nifty 500 Momentum 50,FACTOR,MOMENTUM_BROAD500,500 MOMENTUM 50,AUTO,PENDING,,,71314,NO,NO,0,0,NO,10.84,10.62,10.76,factor split by cap segment (Q-202)
MOM30IETF,EQUITY,Nifty 200 Momentum 30,FACTOR,MOMENTUM_LARGECAP200,200 MOMENTUM 30,AUTO,PENDING,,,432970,YES,YES,3,3,TIER1,30.84,30.25,30.69,factor split by cap segment (Q-202)
MOMOMENTUM,EQUITY,Nifty 200 Momentum 30,FACTOR,MOMENTUM_LARGECAP200,200 MOMENTUM 30,AUTO,PENDING,,,211558,YES,YES,3,3,TIER1,60.69,60.14,61.00,factor split by cap segment (Q-202)
MOMENTUM30,EQUITY,Nifty 200 Momentum 30,FACTOR,MOMENTUM_LARGECAP200,200 MOMENTUM 30,AUTO,PENDING,,,171221,YES,YES,3,3,TIER1,29.98,29.71,30.13,factor split by cap segment (Q-202)
HDFCMOMENT,EQUITY,Nifty 200 Momentum 30,FACTOR,MOMENTUM_LARGECAP200,200 MOMENTUM 30,AUTO,PENDING,,,142609,YES,YES,3,3,TIER1,30.26,29.99,30.38,factor split by cap segment (Q-202)
MOMENTUM,EQUITY,Nifty 200 Momentum 30,FACTOR,MOMENTUM_LARGECAP200,200 MOMENTUM 30,AUTO,PENDING,,,35933,NO,NO,0,0,NO,30.47,30.09,30.51,factor split by cap segment (Q-202)
MOMMIDCAP,EQUITY,BSE Midcap 150 Momentum 30,FACTOR,MOMENTUM_MIDCAP,MIDCAP 150 MOMENTUM 30,AUTO,PENDING,,,1344900,YES,YES,0,1,TIER2,12.70,12.58,-,factor split by cap segment (Q-202)
SBIMIDMOM,EQUITY,Nifty Midcap 150 Momentum 50,FACTOR,MOMENTUM_MIDCAP,MIDCAP 150 MOMENTUM 50,AUTO,PENDING,,,106166,YES,YES,0,1,TIER2,62.82,61.74,62.48,factor split by cap segment (Q-202)
MOMIDMTM,EQUITY,Nifty Midcap 150 Momentum 50,FACTOR,MOMENTUM_MIDCAP,MIDCAP 150 MOMENTUM 50,AUTO,PENDING,,,79088,NO,NO,0,0,NO,63.01,62.53,-,factor split by cap segment (Q-202)
AONETMMQ50,EQUITY,Nifty Total Market Momentum Quality 50,FACTOR,MOMENTUM_QUALITY_BROAD500,TOTAL MARKET MOMENTUM QUALITY 50,AUTO,PENDING,,,69955,NO,NO,0,0,NO,10.15,10.00,10.00,factor split by cap segment (Q-202)
EMULTIMQ,EQUITY,Nifty 500 Multicap Momentum Quality 50,FACTOR,MOMENTUM_QUALITY_BROAD500,500 MULTICAP MOMENTUM QUALITY 50,AUTO,PENDING,,,17658,NO,NO,0,0,NO,41.39,40.43,40.68,factor split by cap segment (Q-202)
SMALLCAP,EQUITY,Nifty Smallcap 250 Momentum Quality 100,FACTOR,MOMENTUM_QUALITY_SMALLCAP,SMALLCAP 250 MOMENTUM QUALITY 100,AUTO,PENDING,,,1476596,YES,YES,0,1,TIER2,48.21,47.71,48.25,factor split by cap segment (Q-202)
MIDSMALL,EQUITY,Nifty MidSmallcap400 Momentum Quality 100,FACTOR,MOMENTUM_QUALITY_SMALLCAP,MIDSMALLCAP400 MOMENTUM QUALITY 100,AUTO,PENDING,,,135992,YES,YES,0,1,TIER2,50.69,50.24,50.86,factor split by cap segment (Q-202)
SMALLGROWW,EQUITY,Nifty Smallcap 250 Momentum Quality 100,FACTOR,MOMENTUM_QUALITY_SMALLCAP,SMALLCAP 250 MOMENTUM QUALITY 100,AUTO,PENDING,,,7927,NO,NO,0,0,NO,47.89,47.77,47.77,factor split by cap segment (Q-202)
FLEXIADD,EQUITY,Nifty 500 Flexicap Quality 30,FACTOR,QUALITY_BROAD500,500 FLEXICAP QUALITY 30,AUTO,PENDING,,,124615,YES,YES,0,0,NO,9.77,9.65,9.72,factor split by cap segment (Q-202)
HDFCQUAL,EQUITY,Nifty 100 Quality 30,FACTOR,QUALITY_LARGECAP100,100 QUALITY 30,AUTO,PENDING,,,8797,NO,NO,0,0,NO,56.54,56.56,56.86,factor split by cap segment (Q-202)
NIFTYQLITY,EQUITY,Nifty 200 Quality 30,FACTOR,QUALITY_LARGECAP200,200 QUALITY 30,AUTO,PENDING,,,121631,YES,YES,0,0,NO,20.60,20.47,20.55,factor split by cap segment (Q-202)
QUAL30IETF,EQUITY,Nifty 200 Quality 30,FACTOR,QUALITY_LARGECAP200,200 QUALITY 30,AUTO,PENDING,,,23099,NO,NO,0,0,NO,20.45,20.27,20.35,factor split by cap segment (Q-202)
QUALITY30,EQUITY,Nifty 200 Quality 30,FACTOR,QUALITY_LARGECAP200,200 QUALITY 30,AUTO,PENDING,,,1924,NO,NO,0,0,NO,19.85,19.87,19.97,factor split by cap segment (Q-202)
SBIETFQLTY,EQUITY,Nifty 200 Quality 30,FACTOR,QUALITY_LARGECAP200,200 QUALITY 30,AUTO,PENDING,,,1903,NO,NO,0,0,NO,215.01,213.12,213.98,factor split by cap segment (Q-202)
MIDQ50ADD,EQUITY,Nifty Midcap 150 Quality 50,FACTOR,QUALITY_MIDCAP,MIDCAP 150 QUALITY 50,AUTO,PENDING,,,8990,NO,NO,0,0,NO,24.20,23.96,24.16,factor split by cap segment (Q-202)
MOQUALITY,EQUITY,BSE Quality,FACTOR,QUALITY_UNSPECIFIED,QUALITY,AUTO,PENDING,,,378,NO,NO,0,0,NO,193.52,192.08,193.19,factor split by cap segment (Q-202)
SHARIABEES,EQUITY,Nifty 50 Shariah,FACTOR,SHARIAH_LARGECAP50,50 SHARIAH,AUTO,PENDING,,,5890,NO,NO,0,0,NO,443.75,438.18,440.05,factor split by cap segment (Q-202)
VALUEAXIS,EQUITY,Nifty 500 Value 50,FACTOR,VALUE_BROAD500,500 VALUE 50,AUTO,PENDING,,,40405,NO,NO,0,0,NO,32.00,31.98,32.11,factor split by cap segment (Q-202)
VALUE,EQUITY,Nifty 500 Value 50,FACTOR,VALUE_BROAD500,500 VALUE 50,AUTO,PENDING,,,5339,NO,NO,0,0,NO,15.76,15.71,15.78,factor split by cap segment (Q-202)
VAL30IETF,EQUITY,Nifty 200 Value 30,FACTOR,VALUE_LARGECAP200,200 VALUE 30,AUTO,PENDING,,,158592,YES,YES,0,0,NO,14.90,14.80,14.83,factor split by cap segment (Q-202)
SBIVALETF,EQUITY,Nifty 200 Value 30,FACTOR,VALUE_LARGECAP200,200 VALUE 30,AUTO,PENDING,,,855,NO,NO,0,0,NO,14.35,14.37,14.40,factor split by cap segment (Q-202)
NV20IETF,EQUITY,Nifty 50 Value 20,FACTOR,VALUE_LARGECAP50,50 VALUE 20,AUTO,PENDING,,,337403,YES,YES,0,0,NO,13.27,13.20,13.19,factor split by cap segment (Q-202)
NV20,EQUITY,Nifty 50 Value 20,FACTOR,VALUE_LARGECAP50,50 VALUE 20,AUTO,PENDING,,,45776,NO,NO,0,0,NO,13.57,13.53,13.53,factor split by cap segment (Q-202)
NV20BEES,EQUITY,Nifty 50 Value 20,FACTOR,VALUE_LARGECAP50,50 VALUE 20,AUTO,PENDING,,,15612,NO,NO,0,0,NO,136.12,135.45,135.36,factor split by cap segment (Q-202)
HDFCVALUE,EQUITY,Nifty 50 Value 20,FACTOR,VALUE_LARGECAP50,50 VALUE 20,AUTO,PENDING,,,5105,NO,NO,0,0,NO,122.22,121.85,121.76,factor split by cap segment (Q-202)
MOVALUE,EQUITY,BSE Enhanced Value,FACTOR,VALUE_UNSPECIFIED,ENHANCED VALUE,AUTO,PENDING,,,34522,NO,NO,0,0,NO,109.97,110.06,110.53,factor split by cap segment (Q-202)
MONQ50,GLOBAL INDICES,GLOBAL INDICES,GLOBAL,GLOBAL_INDICES,GLOBAL INDICES,AUTO,PENDING,,,2080987,YES,YES,4,4,TIER1,330.33,116.69,116.81,structural NAV premium — see NAV-PREMIUM-CHECK.md
MON100,GLOBAL INDICES,GLOBAL INDICES,GLOBAL,GLOBAL_INDICES,GLOBAL INDICES,AUTO,PENDING,,,1275524,YES,YES,4,4,TIER1,322.85,271.53,271.80,structural NAV premium — see NAV-PREMIUM-CHECK.md
MASPTOP50,GLOBAL INDICES,GLOBAL INDICES,GLOBAL,GLOBAL_INDICES,GLOBAL INDICES,AUTO,PENDING,,,1126886,YES,YES,4,4,TIER1,104.80,66.66,67.22,structural NAV premium — see NAV-PREMIUM-CHECK.md
MAHKTECH,GLOBAL INDICES,GLOBAL INDICES,GLOBAL,GLOBAL_INDICES,GLOBAL INDICES,AUTO,PENDING,,,1036306,YES,YES,4,4,TIER1,21.90,17.81,17.71,structural NAV premium — see NAV-PREMIUM-CHECK.md
MAFANG,GLOBAL INDICES,GLOBAL INDICES,GLOBAL,GLOBAL_INDICES,GLOBAL INDICES,AUTO,PENDING,,,651437,YES,YES,4,4,TIER1,238.90,173.63,175.07,structural NAV premium — see NAV-PREMIUM-CHECK.md
HNGSNGBEES,GLOBAL INDICES,GLOBAL INDICES,GLOBAL,GLOBAL_INDICES,GLOBAL INDICES,AUTO,PENDING,,,69972,NO,NO,0,0,NO,463.01,450.28,448.21,structural NAV premium — see NAV-PREMIUM-CHECK.md
HDFCBSE500,EQUITY,BSE 500,INDEX,BROAD_MARKET_500,500,AUTO,PENDING,,,666863,YES,YES,1,2,TIER1,36.64,36.26,36.43,
MONIFTY500,EQUITY,Nifty 500,INDEX,BROAD_MARKET_500,500,AUTO,PENDING,,,505785,YES,YES,1,2,TIER1,23.25,23.07,23.21,
AONETOTAL,EQUITY,Nifty Total Market,INDEX,BROAD_MARKET_500,TOTAL MARKET,AUTO,PENDING,,,105305,YES,YES,0,2,TIER2,11.67,11.54,11.54,
BSE500IETF,EQUITY,BSE 500,INDEX,BROAD_MARKET_500,500,AUTO,PENDING,,,79176,NO,NO,0,0,NO,38.40,38.16,38.34,
MULTICAP,EQUITY,Nifty 500 Multicap 50:25:25,INDEX,BROAD_MARKET_500,500 MULTICAP 50:25:25,AUTO,PENDING,,,48266,NO,NO,0,0,NO,16.36,16.23,16.36,
NIF500BETA,EQUITY,Nifty 500,INDEX,BROAD_MARKET_500,500,AUTO,PENDING,,,3339,NO,NO,0,0,NO,36.48,36.25,36.45,
SELECTIPO,EQUITY,BSE Select IPO,INDEX,IPO_THEME,SELECT IPO,AUTO,PENDING,,,24630,NO,NO,0,0,NO,47.49,47.30,47.68,
MOIPO,EQUITY,BSE Select IPO,INDEX,IPO_THEME,SELECT IPO,AUTO,PENDING,,,4203,NO,NO,0,0,NO,49.89,47.32,47.18,
NIFTYBEES,EQUITY,Nifty 50,INDEX,LARGECAP_50,50,AUTO,PENDING,,,4732947,YES,YES,6,6,TIER1,266.36,264.82,265.42,
BSLNIFTY,EQUITY,Nifty 50,INDEX,LARGECAP_50,50,AUTO,PENDING,,,989867,YES,YES,6,6,TIER1,27.40,27.25,27.31,
NIFTYCASE,EQUITY,Nifty 50,INDEX,LARGECAP_50,50,AUTO,PENDING,,,705543,YES,YES,6,6,TIER1,9.35,9.33,9.35,
GROWWNIFTY,EQUITY,Nifty 50,INDEX,LARGECAP_50,50,AUTO,PENDING,,,665258,YES,YES,6,6,TIER1,9.45,9.39,9.41,
SETFNIF50,EQUITY,Nifty 50,INDEX,LARGECAP_50,50,AUTO,PENDING,,,487492,YES,YES,6,6,TIER1,251.99,250.27,250.84,
NIFTYIETF,EQUITY,Nifty 50,INDEX,LARGECAP_50,50,AUTO,PENDING,,,254440,YES,YES,6,6,TIER1,265.25,263.47,264.34,
NIFTYETF,EQUITY,Nifty 50,INDEX,LARGECAP_50,50,AUTO,PENDING,,,120788,YES,YES,6,6,TIER1,253.07,252.85,254.18,
HDFCNIFTY,EQUITY,Nifty 50,INDEX,LARGECAP_50,50,AUTO,PENDING,,,91285,NO,NO,0,0,NO,263.44,261.95,262.54,
AONENIFTY,EQUITY,Nifty 50,INDEX,LARGECAP_50,50,AUTO,PENDING,,,87123,NO,NO,0,0,NO,9.64,9.60,9.60,
NIFTYJBLK,EQUITY,Nifty 50,INDEX,LARGECAP_50,50,AUTO,PENDING,,,86852,NO,NO,0,0,NO,12.00,11.91,11.92,
NIFTY1,EQUITY,Nifty 50,INDEX,LARGECAP_50,50,AUTO,PENDING,,,56430,NO,NO,0,0,NO,259.20,257.97,259.63,
HDFCSENSEX,EQUITY,BSE Sensex,INDEX,LARGECAP_50,SENSEX,AUTO,PENDING,,,27969,NO,NO,0,0,NO,84.50,84.42,84.43,
NIFTYBETA,EQUITY,Nifty 50,INDEX,LARGECAP_50,50,AUTO,PENDING,,,25000,NO,NO,0,0,NO,259.27,257.72,258.30,
SENSEXETF,EQUITY,BSE Sensex,INDEX,LARGECAP_50,SENSEX,AUTO,PENDING,,,20812,NO,NO,0,0,NO,76.91,76.79,77.05,
BSLSENETFG,EQUITY,BSE SENSEX,INDEX,LARGECAP_50,SENSEX,AUTO,PENDING,,,17545,NO,NO,0,0,NO,75.05,75.03,75.04,
QNIFTY,EQUITY,Nifty 50,INDEX,LARGECAP_50,50,AUTO,PENDING,,,11686,NO,NO,0,0,NO,257.00,255.84,256.43,
NIFTYAXIS,EQUITY,Nifty 50,INDEX,LARGECAP_50,50,AUTO,PENDING,,,9997,NO,NO,0,0,NO,258.50,257.28,257.56,
SENSEXIETF,EQUITY,BSE Sensex,INDEX,LARGECAP_50,SENSEX,AUTO,PENDING,,,5540,NO,NO,0,0,NO,855.10,855.69,856.67,
NIFTYADD,EQUITY,Nifty 50,INDEX,LARGECAP_50,50,AUTO,PENDING,,,4220,NO,NO,0,0,NO,246.92,244.88,245.44,
MOM50,EQUITY,Nifty 50,INDEX,LARGECAP_50,50,AUTO,PENDING,,,2526,NO,NO,0,0,NO,243.50,243.37,244.17,
