SYMBOL,ISIN,SCHEME_NAME,AMC,BENCHMARK_DERIVED,NSE_SUB_CATEGORY,BENCHMARK_MATCHES_NSE,EXCHANGE,ISIN_SOURCE,NAME_SOURCE,FETCHED_AT
ITBETA,INF789F1AZD8,UTI Nifty IT ETF,UTI Mutual Fund,Nifty It,Nifty IT,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
ITETF,INF769K01KV5,Mirae Asset Nifty IT ETF,Mirae Asset Mutual Fund,Nifty It,Nifty IT,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
ITIETF,INF109KC16I6,ICICI Prudential Nifty IT ETF,ICICI Prudential Mutual Fund,Nifty It,Nifty IT,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
IVZBANKNF,INF205KA1CB9,Invesco India Nifty Bank ETF,Invesco Mutual Fund,Nifty Bank,Nifty Bank,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
IVZINGOLD,INF205KA1BP1,Invesco India Gold Exchange Traded Fund,Invesco Mutual Fund,Gold,GOLD,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
IVZINNIFTY,INF205KA1CC7,Invesco India Nifty 50 Exchange Traded Fund,Invesco Mutual Fund,Nifty 50,Nifty 50,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
IVZSENSEX,INF205KA1CA1,Invesco India BSE Sensex ETF,Invesco Mutual Fund,Sensex Etf,BSE Sensex,REVIEW,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
JUNIORBEES,INF732E01045,Nippon India ETF Nifty Next 50 Junior BeES,Nippon India Mutual Fund,Nifty Next 50,Nifty Next 50,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
LARGEMID50,INF769K01RK3,Mirae Asset BSE LargeMid (60:40) Stable Dividend 50 ETF,Mirae Asset Mutual Fund,,BSE LargeMid (60:40) Stable Dividend 50,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
LICMFGOLD,INF767K01SM1,LIC MF Gold Exchange Traded Fund,LIC Mutual Fund,Gold,GOLD,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
LICNETFN50,INF767K01OS7,LIC MF Nifty 50 ETF,LIC Mutual Fund,Nifty 50,Nifty 50,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
LICNETFSEN,INF767K01OT5,LIC MF BSE Sensex ETF,LIC Mutual Fund,Sensex Etf,BSE Sensex,REVIEW,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
LICNFNHGP,INF767K01PC8,LIC MF Nifty 100 ETF,LIC Mutual Fund,Nifty 100,Nifty 100,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
LICNMID100,INF767K01RN1,LIC MF Nifty Midcap 100 ETF,LIC Mutual Fund,Nifty Midcap 100,Nifty Midcap 100,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
LOWVOL,INF769K01JU9,Mirae Asset Nifty 100 Low Volatility 30 ETF,Mirae Asset Mutual Fund,Nifty 100 Low Volatility 30,Nifty 100 Low Volatility 30,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
LOWVOL1,INF174KA1IY5,Kotak Nifty 100 Low Volatility 30 ETF,Kotak Mahindra Mutual Fund,Nifty 100 Low Volatility 30,NIFTY 100 Low Volatility 30,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
LOWVOLIETF,INF109KC19U5,ICICI Prudential Nifty 100 Low Volatility 30 ETF,ICICI Prudential Mutual Fund,Nifty 100 Low Volatility 30,Nifty 100 Low Volatility 30,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
MAFANG,INF769K01HF4,Mirae Asset NYSE FANG+ ETF,Mirae Asset Mutual Fund,,GLOBAL INDICES,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
MAHKTECH,INF769K01HS7,Mirae Asset Hang Seng TECH ETF,Mirae Asset Mutual Fund,Hang Seng,GLOBAL INDICES,REVIEW,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
MAKEINDIA,INF769K01IB1,Mirae Asset Nifty India Manufacturing ETF,Mirae Asset Mutual Fund,,Nifty India Manufacturing,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
MANUFGBEES,INF204KC1GH6,Nippon India Nifty India Manufacturing ETF,Nippon India Mutual Fund,,Nifty India Manufacturing,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
MASPTOP50,INF769K01HP3,Mirae Asset S&P 500 Top 50 ETF,Mirae Asset Mutual Fund,S&P 500,GLOBAL INDICES,REVIEW,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
METAL,INF769K01LY7,Mirae Asset Nifty Metal ETF,Mirae Asset Mutual Fund,Nifty Metal,Nifty Metal,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
METALIETF,INF109KC19W1,ICICI Prudential Nifty Metal ETF,ICICI Prudential Mutual Fund,Nifty Metal,Nifty Metal,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
MID150,INF174KA1VW2,Kotak Nifty Midcap 150 ETF,Kotak Mahindra Mutual Fund,Nifty Midcap 150,Nifty Midcap 150,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
MID150BEES,INF204KB1V68,Nippon India ETF Nifty Midcap 150,Nippon India Mutual Fund,Nifty Midcap 150,Nifty Midcap 150,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
MID150CASE,INF0R8F01059,Zerodha Nifty Midcap 150 ETF,Zerodha Mutual Fund,Nifty Midcap 150,Nifty Midcap 150,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
MIDBANKADD,INF740KA1ZH9,DSP BSE MidSmall Private Banks ETF,DSP Mutual Fund,,BSE MidSmall Private Banks,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
MIDCAP,INF174KA1ZC5,Kotak Nifty Midcap 50 ETF,Kotak Mahindra Mutual Fund,Nifty Midcap 50,NIFTY Midcap 50,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
MIDCAPADD,INF740KA1WW5,DSP Nifty Midcap 150 ETF,DSP Mutual Fund,Nifty Midcap 150,Nifty Midcap 150,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
MIDCAPBETA,INF789F1AYX9,UTI Nifty Midcap 150 Exchange Traded Fund,UTI Mutual Fund,Nifty Midcap 150,Nifty Midcap 150,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
MIDCAPETF,INF769K01IC9,Mirae Asset Nifty Midcap 150 ETF,Mirae Asset Mutual Fund,Nifty Midcap 150,Nifty Midcap 150,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
MIDCAPIETF,INF109KC11W8,ICICI Prudential Nifty Midcap 150 ETF,ICICI Prudential Mutual Fund,Nifty Midcap 150,Nifty Midcap 150,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
MIDQ50ADD,INF740KA1ZF3,DSP Nifty Midcap 150 Quality 50 ETF,DSP Mutual Fund,Nifty Midcap 150,Nifty Midcap 150 Quality 50,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
MIDSELIETF,INF109KC10W0,ICICI Prudential BSE Midcap Select ETF,ICICI Prudential Mutual Fund,,BSE Midcap Select,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
MIDSMALL,INF769K01LJ8,Mirae Asset Nifty MidSmallcap400 Momentum Quality 100 ETF,Mirae Asset Mutual Fund,,Nifty MidSmallcap400 Momentum Quality 100,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
MNC,INF174KA1JF2,Kotak Nifty MNC ETF,Kotak Mahindra Mutual Fund,,Nifty MNC,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
MOALPHA50,INF247L01FR8,Motilal Oswal Nifty Alpha 50 ETF,Motilal Oswal Mutual Fund,,Nifty Alpha 50,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
MOBANK10,INF247L01GV8,Motilal Oswal BSE Top 10 Banks ETF,Motilal Oswal Mutual Fund,,BSE Top 10 Banks,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
MOCAPITAL,INF247L01EV3,Motilal Oswal Nifty Capital Market ETF,Motilal Oswal Mutual Fund,,Nifty Capital Market,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
MODEFENCE,INF247L01DJ0,Motilal Oswal Nifty India Defence ETF,Motilal Oswal Mutual Fund,,Nifty India Defence,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
MOENERGY,INF247L01GH7,Motilal Oswal Nifty Energy ETF,Motilal Oswal Mutual Fund,,Nifty Energy,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
MOGOLD,INF247L01FY4,Motilal Oswal Gold ETF,Motilal Oswal Mutual Fund,Gold,GOLD,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
MOHEALTH,INF247L01BB1,Motilal Oswal BSE Healthcare ETF,Motilal Oswal Mutual Fund,,BSE Healthcare,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
MOINFRA,INF247L01FL1,Motilal Oswal BSE India Infrastructure ETF,Motilal Oswal Mutual Fund,,BSE India Infrastructure,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
MOIPO,INF247L01GI5,Motilal Oswal BSE Select IPO ETF,Motilal Oswal Mutual Fund,,BSE Select IPO,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
MOLOWVOL,INF247L01BL0,Motilal Oswal BSE Low Volatility ETF,Motilal Oswal Mutual Fund,,Nifty Midcap 100,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
MOM100,INF247L01023,Motilal Oswal Nifty Midcap 100 ETF,Motilal Oswal Mutual Fund,Nifty Midcap 100,Nifty Midcap 100,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
MOM30IETF,INF109KC17C7,ICICI Prudential Nifty 200 Momentum 30 ETF,ICICI Prudential Mutual Fund,Nifty 200 Momentum 30,Nifty 200 Momentum 30,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
MOM50,INF247L01536,Motilal Oswal Nifty 50 ETF,Motilal Oswal Mutual Fund,Nifty 50,Nifty 50,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
MOMENTUM,INF209KB14K7,Aditya Birla Sun Life Nifty 200 Momentum 30 ETF,Aditya Birla Sun Life Mutual Fund,Nifty 200 Momentum 30,Nifty 200 Momentum 30,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
MOMENTUM30,INF174KA1XS6,Kotak Nifty 200 Momentum 30 ETF,Kotak Mahindra Mutual Fund,Nifty 200 Momentum 30,Nifty 200 Momentum 30,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
MOMENTUM50,INF247L01DK8,Motilal Oswal Nifty 500 Momentum 50 ETF,Motilal Oswal Mutual Fund,Nifty 500 Momentum 50,Nifty 500 Momentum 50,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
MOMETAL,INF247L01HG7,Motilal Oswal Nifty Metal ETF,Motilal Oswal Mutual Fund,Nifty Metal,Nifty Metal,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
MOMGF,INF247L01FK3,Motilal Oswal Nifty India Manufacturing ETF,Motilal Oswal Mutual Fund,,Nifty India Manufacturing,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
MOMIDMTM,INF247L01FQ0,Motilal Oswal Nifty Midcap 150 Momentum 50 ETF,Motilal Oswal Mutual Fund,Nifty Midcap 150,Nifty Midcap 150 Momentum 50,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
MOMMIDCAP,INF769K01RC0,Mirae Asset BSE Midcap 150 Momentum 30 ETF,Mirae Asset Mutual Fund,,BSE Midcap 150 Momentum 30,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
MOMNC,INF247L01GK1,Motilal Oswal Nifty MNC ETF,Motilal Oswal Mutual Fund,,Nifty MNC ETF,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
MOMOMENTUM,INF247L01BK2,Motilal Oswal Nifty 200 Momentum 30 ETF,Motilal Oswal Mutual Fund,Nifty 200 Momentum 30,Nifty 200 Momentum 30,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
MON100,INF247L01AP3,Motilal Oswal Nasdaq 100 ETF,Motilal Oswal Mutual Fund,Nasdaq 100,GLOBAL INDICES,REVIEW,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
MON50EQUAL,INF247L01FC0,Motilal Oswal Nifty 50 Equal Weight ETF,Motilal Oswal Mutual Fund,Nifty 50,NIFTY 50 Equal Weight,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
MONEXT50,INF247L01FD8,Motilal Oswal Nifty Next 50 ETF,Motilal Oswal Mutual Fund,Nifty Next 50,Nifty Next 50,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
MONIFTY100,INF247L01GG9,Motilal Oswal Nifty 100 ETF,Motilal Oswal Mutual Fund,Nifty 100,Nifty 100,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
MONIFTY500,INF247L01BU1,Motilal Oswal Nifty 500 ETF,Motilal Oswal Mutual Fund,Nifty 500,Nifty 500,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
MONQ50,INF247L01AU3,Motilal Oswal Nasdaq Q50 ETF,Motilal Oswal Mutual Fund,Nasdaq,GLOBAL INDICES,REVIEW,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
MOOILGAS,INF247L01HH5,Motilal Oswal Nifty Oil & Gas ETF,Motilal Oswal Mutual Fund,,Nifty Oil & Gas,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
MOPSE,INF247L01FO5,Motilal Oswal Nifty PSE ETF,Motilal Oswal Mutual Fund,,Nifty PSE,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
MOQUALITY,INF247L01BH8,Motilal Oswal BSE Quality ETF,Motilal Oswal Mutual Fund,,BSE Quality,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
MOREALTY,INF247L01CI4,Motilal Oswal Nifty Realty ETF,Motilal Oswal Mutual Fund,,Nifty Realty,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
MOSERVICE,INF247L01GJ3,Motilal Oswal Nifty Services Sector ETF,Motilal Oswal Mutual Fund,,Nifty Services Sector,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
MOSILVER,INF247L01FZ1,Motilal Oswal Silver ETF,Motilal Oswal Mutual Fund,Silver,SILVER,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
MOSMALL250,INF247L01CH6,Motilal Oswal Nifty Smallcap 250 ETF,Motilal Oswal Mutual Fund,Nifty Smallcap 250,Nifty Smallcap 250,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
MOTOUR,INF247L01FP2,Motilal Oswal Nifty India Tourism ETF,Motilal Oswal Mutual Fund,,Nifty India Tourism,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
MOVALUE,INF247L01BE5,Motilal Oswal BSE Enhanced Value ETF,Motilal Oswal Mutual Fund,,BSE Enhanced Value,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
MSCI360,INF579M01BP5,360 ONE MSCI India ETF,360 ONE Mutual Fund,,MSCI India,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
MSCIADD,INF740KA1WV7,DSP MSCI INDIA ETF,DSP Mutual Fund,,MSCI India,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
MSCIINDIA,INF174KA1VD2,Kotak MSCI India ETF,Kotak Mahindra Mutual Fund,,MSCI India,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
MULTICAP,INF769K01LX9,Mirae Asset Nifty500 Multicap 50:25:25 ETF,Mirae Asset Mutual Fund,,Nifty 500 Multicap 50:25:25,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
NETF,INF277K015R5,Tata Nifty 50 Exchange Traded Fund,Tata Mutual Fund,Nifty 50,Nifty 50,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
NEXT30ADD,INF740KA1VE5,DSP BSE SENSEX Next 30 ETF,DSP Mutual Fund,Sensex Next,BSE SENSEX Next 30,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
NEXT50,INF769K01FN2,Mirae Asset Nifty Next 50 ETF,Mirae Asset Mutual Fund,Nifty Next 50,Nifty Next 50,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
NEXT50ADD,INF740KA1XU7,DSP Nifty Next 50 ETF,DSP Mutual Fund,Nifty Next 50,Nifty Next 50,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
NEXT50BETA,INF789F1AUW9,UTI - Nifty Next 50 Exchange Traded Fund,UTI Mutual Fund,Nifty Next 50,Nifty Next 50,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
NEXT50ETF,INF174KA1YO3,Kotak Nifty Next 50 ETF,Kotak Mahindra Mutual Fund,Nifty Next 50,Nifty Next 50,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
NEXT50IETF,INF109KC1NS5,ICICI Prudential Nifty Next 50 ETF,ICICI Prudential Mutual Fund,Nifty Next 50,Nifty Next 50,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
NIF100BEES,INF204K014N5,Nippon India ETF Nifty 100,Nippon India Mutual Fund,Nifty 100,Nifty 100,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
NIF100IETF,INF109KC16V9,ICICI Prudential Nifty 100 ETF,ICICI Prudential Mutual Fund,Nifty 100,Nifty 100,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
NIF500BETA,INF789F1AG76,UTI Nifty 500 Exchange Traded Fund,UTI Mutual Fund,Nifty 500,Nifty 500,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
NIFTY1,INF174K014P6,Kotak Nifty 50 ETF,Kotak Mahindra Mutual Fund,Nifty 50,Nifty 50,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
NIFTY100EW,INF174KA1UW4,Kotak Nifty 100 Equal Weight ETF,Kotak Mahindra Mutual Fund,Nifty 100,Nifty 100 Equal Weight,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
NIFTYADD,INF740KA1CL0,DSP Nifty 50 ETF,DSP Mutual Fund,Nifty 50,Nifty 50,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
NIFTYAXIS,INF846K01W98,Axis Nifty 50 ETF,Axis Mutual Fund,Nifty 50,Nifty 50,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
NIFTYBEES,INF204KB14I2,Nippon India ETF Nifty 50 BeES,Nippon India Mutual Fund,Nifty 50,Nifty 50,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
NIFTYBETA,INF789F1AZC0,UTI Nifty 50 ETF,UTI Mutual Fund,Nifty 50,Nifty 50,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
NIFTYBETF,INF0QA701722,Bajaj Finserv Nifty 50 ETF,Bajaj Finserv Mutual Fund,Nifty 50,Nifty 50,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
NIFTYCASE,INF0R8F01166,Zerodha Nifty 50 ETF,Zerodha Mutual Fund,Nifty 50,Nifty 50,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
NIFTYETF,INF769K01EG9,Mirae Asset Nifty 50 ETF,Mirae Asset Mutual Fund,Nifty 50,Nifty 50,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
NIFTYIETF,INF109K012R6,ICICI Prudential Nifty 50 ETF,ICICI Prudential Mutual Fund,Nifty 50,Nifty 50,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
NIFTYJBLK,INF22M001184,JioBlackRock Nifty 50 ETF,Jio BlackRock Mutual Fund,Nifty 50,Nifty 50,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
NIFTYQLITY,INF209KB15K4,Aditya Birla Sun Life Nifty 200 Quality 30 ETF,Aditya Birla Sun Life Mutual Fund,Nifty 200 Quality 30,Nifty 200 Quality 30,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
NPBET,INF277K010X4,Tata Nifty Private Bank Exchange Traded Fund,Tata Mutual Fund,,Nifty Private Bank,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
NV20,INF174KA1ZE1,Kotak Nifty 50 Value 20 ETF,Kotak Mahindra Mutual Fund,Nifty 50 Value 20,Nifty 50 Value 20,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
NV20BEES,INF204KB18I3,Nippon India ETF Nifty 50 Value 20,Nippon India Mutual Fund,Nifty 50 Value 20,Nifty 50 Value 20,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
NV20IETF,INF109KC11V0,ICICI Prudential Nifty50 Value 20 ETF,ICICI Prudential Mutual Fund,,Nifty 50 Value 20,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
OILIETF,INF109KC18W3,ICICI Prudential Nifty Oil & Gas ETF,ICICI Prudential Mutual Fund,,Nifty Oil & Gas,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
PHARMABEES,INF204KC1089,Nippon India Nifty Pharma ETF,Nippon India Mutual Fund,Nifty Pharma,Nifty Pharma,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
PSUBANK,INF174KA1A86,Kotak Nifty PSU Bank ETF,Kotak Mahindra Mutual Fund,,Nifty PSU Bank,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
PSUBANKADD,INF740KA1SY9,DSP Nifty PSU Bank ETF,DSP Mutual Fund,,Nifty PSU Bank,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
PSUBNKBEES,INF204KB16I7,Nippon India ETF Nifty PSU Bank BeES,Nippon India Mutual Fund,,Nifty PSU Bank,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
PSUBNKIETF,INF109KC10S8,ICICI Prudential Nifty PSU Bank ETF,ICICI Prudential Mutual Fund,,Nifty PSU Bank,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
PVTBANIETF,INF109KC18U7,ICICI Prudential Nifty Private Bank ETF,ICICI Prudential Mutual Fund,,Nifty Private Bank,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
PVTBANK,INF174KA1A94,Kotak Nifty Private Bank ETF,Kotak Mahindra Mutual Fund,,Nifty Private Bank,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
PVTBANKADD,INF740KA1TA7,DSP Nifty Private Bank ETF,DSP Mutual Fund,,Nifty Private Bank,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
PVTBKGROWW,INF666M01OT5,Groww Nifty Private Bank ETF,Groww Mutual Fund,,Nifty Private Bank,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
QGOLDHALF,INF082J01408,Quantum Gold ETF,Quantum Mutual Fund,Gold,GOLD,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
QNIFTY,INF082J01499,Quantum Nifty 50 ETF,Quantum Mutual Fund,Nifty 50,Nifty 50,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
QUAL30IETF,INF109KC18V5,ICICI Prudential Nifty 200 Quality 30 ETF,ICICI Prudential Mutual Fund,Nifty 200 Quality 30,Nifty 200 Quality 30,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
QUALITY30,INF174KA1WT6,Kotak Nifty200 Quality 30 ETF,Kotak Mahindra Mutual Fund,,Nifty 200 Quality 30,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
SBIBPB,INF200KB1712,SBI BSE PSU BANK ETF,SBI Mutual Fund,,BSE PSU Bank,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
SBIETFCON,INF200KA1X17,SBI Nifty Consumption ETF,SBI Mutual Fund,,Nifty India Consumption,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
SBIETFIT,INF200KA1S14,SBI Nifty IT ETF,SBI Mutual Fund,Nifty It,Nifty IT,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
SBIETFPB,INF200KA1S22,SBI Nifty Private Bank ETF,SBI Mutual Fund,,Nifty Private Bank,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
SBIETFQLTY,INF200KA1WX6,SBI Nifty 200 Quality 30 ETF,SBI Mutual Fund,Nifty 200 Quality 30,Nifty 200 Quality 30,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
SBIMIDMOM,INF200KB1AJ0,SBI Nifty Midcap 150 Momentum 50 ETF,SBI Mutual Fund,Nifty Midcap 150,Nifty Midcap 150 Momentum 50,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
SBINEQWETF,INF200KB1282,SBI Nifty50 Equal Weight ETF,SBI Mutual Fund,,Nifty 50 Equal Weight,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
SBINMID150,INF200KB1AK8,SBI Nifty Midcap 150 ETF,SBI Mutual Fund,Nifty Midcap 150,Nifty Midcap 150,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
SBISILVER,INF200KB1217,SBI Silver ETF,SBI Mutual Fund,Silver,SILVER,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
SBISMLETF,INF200KB1AY9,SBI Nifty Smallcap 250 ETF,SBI Mutual Fund,Nifty Smallcap 250,Nifty Smallcap 250,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
SBIVALETF,INF200KB1AX1,SBI Nifty200 Value 30 ETF,SBI Mutual Fund,,Nifty 200 Value 30,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
SELECTIPO,INF769K01ON4,Mirae Asset BSE Select IPO ETF,Mirae Asset Mutual Fund,,BSE Select IPO,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
SENSEXADD,INF740KA1SZ6,DSP BSE Sensex ETF,DSP Mutual Fund,Sensex Etf,BSE Sensex,REVIEW,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
SENSEXAXIS,INF846K010Q0,Axis BSE Sensex ETF,Axis Mutual Fund,Sensex Etf,BSE Sensex,REVIEW,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
SENSEXBETA,INF789FB1X58,UTI BSE Sensex ETF,UTI Mutual Fund,Sensex Etf,BSE Sensex,REVIEW,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
SENSEXETF,INF769K01KT9,Mirae Asset BSE Sensex ETF,Mirae Asset Mutual Fund,Sensex Etf,BSE Sensex,REVIEW,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
SENSEXIETF,INF346A01034,ICICI Prudential BSE Sensex ETF,ICICI Prudential Mutual Fund,Sensex Etf,BSE Sensex,REVIEW,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
SETFGOLD,INF200KA16D8,SBI Gold ETF,SBI Mutual Fund,Gold,GOLD,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
SETFNIF50,INF200KA1FS1,SBI Nifty 50 ETF,SBI Mutual Fund,Nifty 50,Nifty 50,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
SETFNIFBK,INF200KA1580,SBI Nifty Bank ETF,SBI Mutual Fund,Nifty Bank,Nifty Bank,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
SETFNN50,INF200KA1598,SBI Nifty Next 50 ETF,SBI Mutual Fund,Nifty Next 50,Nifty Next 50,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
SHARIABEES,INF732E01128,Nippon India ETF Nifty 50 Shariah BeES,Nippon India Mutual Fund,Nifty 50,Nifty 50 Shariah,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
