SYMBOL,ISIN,SCHEME_NAME,AMC,BENCHMARK_DERIVED,NSE_SUB_CATEGORY,BENCHMARK_MATCHES_NSE,EXCHANGE,ISIN_SOURCE,NAME_SOURCE,FETCHED_AT
BSLNIFTY,INF209KB19D1,Aditya Birla Sun Life Nifty 50 ETF,Aditya Birla Sun Life Mutual Fund,Nifty 50,Nifty 50,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
BSLSENETFG,INF209KB10E8,Aditya Birla Sun Life BSE Sensex ETF,Aditya Birla Sun Life Mutual Fund,Sensex Etf,BSE SENSEX,REVIEW,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
CEMNTGROWW,INF666M01PH7,Groww Nifty Cements ETF,Groww Mutual Fund,,Nifty Cements,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
CHEMICAL,INF174KA1XV0,Kotak Nifty Chemicals ETF,Kotak Mahindra Mutual Fund,,Nifty Chemicals,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
CHOICEGOLD,INF2KCX01012,Choice Gold ETF,Choice Mutual Fund,Gold,GOLD,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
COMMOIETF,INF109KC19O8,ICICI Prudential Nifty Commodities ETF,ICICI Prudential Mutual Fund,,Nifty Commodities,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
CONS,INF174KA1ZF8,Kotak Nifty India Consumption ETF,Kotak Mahindra Mutual Fund,,Nifty India Consumption,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
CONSUMAXIS,INF846K016C7,Axis NIFTY India Consumption ETF,Axis Mutual Fund,,Nifty India Consumption,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
CONSUMBEES,INF204KA1LD7,Nippon India ETF Nifty India Consumption,Nippon India Mutual Fund,,Nifty India Consumption,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
CONSUMER,INF769K01NS5,Mirae Asset Nifty India New Age Consumption ETF,Mirae Asset Mutual Fund,,Nifty India New Age Consumption,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
CONSUMIETF,INF109KC1V42,ICICI Prudential Nifty India Consumption ETF,ICICI Prudential Mutual Fund,,Nifty India Consumption,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
CPSEETF,INF457M01133,CPSE ETF,Nippon India Mutual Fund,,Nifty CPSE,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
DEFENCE,INF769K01QC2,Mirae Asset BSE India Defence ETF,Mirae Asset Mutual Fund,,BSE India Defence,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
DIVIDEND,INF769K01PY8,Mirae Asset BSE 500 Dividend Leaders 50 ETF,Mirae Asset Mutual Fund,Bse 500,BSE 500 Dividend Leaders 50,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
DIVOPPBEES,INF204KA1MS3,Nippon India ETF Nifty Dividend Opportunities 50,Nippon India Mutual Fund,,Nifty Dividend Opportunities 50,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
EBANK10,INF754K01XH9,Edelweiss BSE Top 10 Bank ETF,Edelweiss Mutual Fund,,BSE Top 10 Banks,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
EBANKNIFTY,INF754K01TE4,Edelweiss Nifty Bank ETF,Edelweiss Mutual Fund,Nifty Bank,Nifty Bank,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
ECAPINSURE,INF754K01TX4,Edelweiss BSE Capital Markets & Insurance ETF,Edelweiss Mutual Fund,,BSE Capital Markets & Insurance,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
EGOLD,INF754K01SE6,Edelweiss Gold ETF,Edelweiss Mutual Fund,Gold,GOLD,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
ELM250,INF754K01VV4,Edelweiss Nifty LargeMidcap 250 ETF,Edelweiss Mutual Fund,,Nifty LargeMidcap 250,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
ELMDIV,INF754K01XI7,Edelweiss BSE LargeMid (60:40) Stable dividend 50 ETF,Edelweiss Mutual Fund,,BSE LargeMid (60:40) Stable Dividend 50,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
EMETAL,INF754K01XG1,Edelweiss Nifty Metal ETF,Edelweiss Mutual Fund,Nifty Metal,Nifty Metal,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
EMULTIMQ,INF754K01TF1,Edelweiss Nifty500 Multicap Momentum Quality 50 ETF,Edelweiss Mutual Fund,,Nifty 500 Multicap Momentum Quality 50,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
ENERGY,INF769K01PR2,Mirae Asset Nifty Energy ETF,Mirae Asset Mutual Fund,,Nifty Energy,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
ENERGYAXIS,INF846KA1598,Axis Nifty Energy ETF,Axis Mutual Fund,,Nifty Energy,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
ENEXT50,INF754K01XF3,Edelweiss Nifty Next 50 ETF,Edelweiss Mutual Fund,Nifty Next 50,Nifty Next 50,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
ENIFTY,INF754K01VX0,Edelweiss Nifty 50 ETF,Edelweiss Mutual Fund,Nifty 50,Nifty 50,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
EQUAL200,INF769K01OA1,Mirae Asset BSE 200 Equal Weight ETF,Mirae Asset Mutual Fund,Bse 200,BSE 200 Equal Weight,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
EQUAL50,INF769K01OO2,Mirae Asset Nifty50 Equal Weight ETF,Mirae Asset Mutual Fund,,Nifty 50 Equal Weight,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
EQUAL50ADD,INF740KA1QK2,DSP Nifty 50 Equal Weight ETF,DSP Mutual Fund,Nifty 50,NIFTY 50 Equal Weight,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
ESENSEX,INF754K01VY8,Edelweiss BSE Sensex ETF,Edelweiss Mutual Fund,Sensex Etf,BSE Sensex,REVIEW,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
ESG,INF769K01GS9,Mirae Asset Nifty 100 ESG Sector Leaders ETF,Mirae Asset Mutual Fund,Nifty 100,Nifty 100 ESG Sector Leaders,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
ESILVER,INF754K01SF3,Edelweiss Silver ETF,Edelweiss Mutual Fund,Silver,SILVER,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
EVIETF,INF109K1A153,ICICI Prudential Nifty EV & New Age Automotive ETF,ICICI Prudential Mutual Fund,,Nifty EV and New Age Automotive,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
EVINDIA,INF769K01LQ3,Mirae Asset Nifty EV and New Age Automotive ETF,Mirae Asset Mutual Fund,,Nifty EV and New Age Automotive,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
FINIETF,INF109KC17L8,ICICI Prudential Nifty Financial Services Ex-Bank ETF,ICICI Prudential Mutual Fund,,Nifty Financial Services Ex-Bank,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
FLEXIADD,INF740KA1WU9,DSP Nifty500 Flexicap Quality 30 ETF,DSP Mutual Fund,,Nifty 500 Flexicap Quality 30,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
FMCGADD,INF740KA1ZA4,DSP Nifty FMCG ETF,DSP Mutual Fund,Nifty Fmcg,Nifty FMCG,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
FMCGIETF,INF109KC19V3,ICICI Prudential Nifty FMCG ETF,ICICI Prudential Mutual Fund,Nifty Fmcg,Nifty FMCG,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
